age_segment;dt;item_topic;item_topic (copy);record_id;source_topic;топ-10;visits
18-25;24.09.2019 18:32:00;Деньги;Деньги;1040597;Авто;Остальные;3
18-25;24.09.2019 18:35:00;Деньги;Деньги;1040598;Авто;Остальные;1
18-25;24.09.2019 18:54:00;Деньги;Деньги;1040599;Авто;Остальные;4
18-25;24.09.2019 18:55:00;Деньги;Деньги;1040600;Авто;Остальные;17
18-25;24.09.2019 18:56:00;Деньги;Деньги;1040601;Авто;Остальные;27
18-25;24.09.2019 18:57:00;Деньги;Деньги;1040602;Авто;Остальные;22
18-25;24.09.2019 18:58:00;Деньги;Деньги;1040603;Авто;Остальные;24
18-25;24.09.2019 18:59:00;Деньги;Деньги;1040604;Авто;Остальные;20
18-25;24.09.2019 19:00:00;Деньги;Деньги;1040605;Авто;Остальные;5
26-30;24.09.2019 18:29:00;Деньги;Деньги;1040606;Авто;Остальные;1
26-30;24.09.2019 18:30:00;Деньги;Деньги;1040607;Авто;Остальные;1
26-30;24.09.2019 18:31:00;Деньги;Деньги;1040608;Авто;Остальные;1
26-30;24.09.2019 18:32:00;Деньги;Деньги;1040609;Авто;Остальные;1
26-30;24.09.2019 18:54:00;Деньги;Деньги;1040610;Авто;Остальные;4
26-30;24.09.2019 18:55:00;Деньги;Деньги;1040611;Авто;Остальные;13
26-30;24.09.2019 18:56:00;Деньги;Деньги;1040612;Авто;Остальные;18
26-30;24.09.2019 18:57:00;Деньги;Деньги;1040613;Авто;Остальные;15
26-30;24.09.2019 18:58:00;Деньги;Деньги;1040614;Авто;Остальные;13
26-30;24.09.2019 18:59:00;Деньги;Деньги;1040615;Авто;Остальные;13
26-30;24.09.2019 19:00:00;Деньги;Деньги;1040616;Авто;Остальные;5
31-35;24.09.2019 18:30:00;Деньги;Деньги;1040617;Авто;Остальные;1
31-35;24.09.2019 18:54:00;Деньги;Деньги;1040618;Авто;Остальные;1
31-35;24.09.2019 18:55:00;Деньги;Деньги;1040619;Авто;Остальные;4
31-35;24.09.2019 18:56:00;Деньги;Деньги;1040620;Авто;Остальные;10
31-35;24.09.2019 18:57:00;Деньги;Деньги;1040621;Авто;Остальные;9
31-35;24.09.2019 18:58:00;Деньги;Деньги;1040622;Авто;Остальные;14
31-35;24.09.2019 18:59:00;Деньги;Деньги;1040623;Авто;Остальные;11
31-35;24.09.2019 19:00:00;Деньги;Деньги;1040624;Авто;Остальные;6
36-40;24.09.2019 18:30:00;Деньги;Деньги;1040625;Авто;Остальные;1
36-40;24.09.2019 18:32:00;Деньги;Деньги;1040626;Авто;Остальные;1
36-40;24.09.2019 18:52:00;Деньги;Деньги;1040627;Авто;Остальные;1
36-40;24.09.2019 18:54:00;Деньги;Деньги;1040628;Авто;Остальные;1
36-40;24.09.2019 18:55:00;Деньги;Деньги;1040629;Авто;Остальные;4
36-40;24.09.2019 18:56:00;Деньги;Деньги;1040630;Авто;Остальные;10
36-40;24.09.2019 18:57:00;Деньги;Деньги;1040631;Авто;Остальные;8
36-40;24.09.2019 18:58:00;Деньги;Деньги;1040632;Авто;Остальные;7
36-40;24.09.2019 18:59:00;Деньги;Деньги;1040633;Авто;Остальные;6
